Target gene	Representative transcript	Gene name	3P-seq tags + 5	Conserved sites total	Conserved 8mer sites	Conserved 7mer-m8 sites	Conserved 7mer-A1 sites	Poorly conserved sites total	Poorly conserved 8mer sites	Poorly conserved 7mer-m8 sites	Poorly conserved 7mer-A1 sites	6mer sites	Representative miRNA	Cumulative weighted context++ score	Total context++ score	Aggregate PCT	Previous TargetScan publication(s)
Igf2bp2	ENSMUST00000100052.5	insulin-like growth factor 2 mRNA binding protein 2 	40	2	1	0	1	1	0	0	1	0	mmu-let-7d-5p	-0.53	-0.85	> 0.99	2007, 2009, 2011
Pxdn	ENSMUST00000122328.2	peroxidasin homolog (Drosophila) 	2118	2	0	0	2	0	0	0	0	0	mmu-let-7d-5p	-0.53	-0.53	> 0.99	2007, 2011
Edn1	ENSMUST00000021796.7	endothelin 1 	982	1	1	0	0	0	0	0	0	0	mmu-let-7d-5p	-0.53	-0.53	0.92	2009, 2011
Ctf2	ENSMUST00000076091.2	cardiotrophin 2 	5	1	0	1	0	1	0	1	0	0	mmu-let-7b-5p	-0.53	-0.53	0.90	
Slc10a6	ENSMUST00000031263.1	solute carrier family 10 (sodium/bile acid cotransporter family), member 6 	146	1	1	0	0	0	0	0	0	0	mmu-let-7b-5p	-0.53	-0.53	0.80	2009, 2011
Cacfd1	ENSMUST00000114007.2	calcium channel flower domain containing 1 	785	1	0	1	0	0	0	0	0	0	mmu-let-7a-5p	-0.53	-0.57	0.75	2007, 2009, 2011
Hmga1	ENSMUST00000117600.2	high mobility group AT-hook 1 	8	1	0	1	0	0	0	0	0	0	mmu-let-7i-5p	-0.53	-0.53	0.86	2005, 2007, 2009, 2011
Rnf103	ENSMUST00000114178.2	ring finger protein 103 	693	1	0	1	0	2	1	0	1	0	mmu-let-7g-5p	-0.53	-1.58	< 0.1	
Nme4	ENSMUST00000025007.5	NME/NM23 nucleoside diphosphate kinase 4 	155	1	0	1	0	0	0	0	0	0	mmu-let-7a-5p	-0.53	-0.53	0.89	2005, 2007, 2009, 2011
Hif3a	ENSMUST00000108492.3	hypoxia inducible factor 3, alpha subunit 	15	2	1	0	1	0	0	0	0	0	mmu-let-7b-5p	-0.53	-0.53	> 0.99	2007, 2009, 2011
Cdv3	ENSMUST00000116517.3	carnitine deficiency-associated gene expressed in ventricle 3 	133	1	1	0	0	0	0	0	0	0	mmu-let-7d-5p	-0.53	-0.53	0.98	2007, 2009, 2011
Lpgat1	ENSMUST00000110855.2	lysophosphatidylglycerol acyltransferase 1 	2359	2	0	1	1	1	0	0	1	1	mmu-let-7d-5p	-0.52	-0.62	> 0.99	2005, 2007, 2009, 2011
Smug1	ENSMUST00000064067.8	single-strand selective monofunctional uracil DNA glycosylase 	221	1	1	0	0	1	0	1	0	1	mmu-let-7f-5p	-0.52	-0.53	< 0.1	2007, 2009, 2011
Ncoa3	ENSMUST00000088095.5	nuclear receptor coactivator 3 	1832	1	0	1	0	1	0	1	0	1	mmu-let-7c-5p	-0.52	-1.16	0.52	2005, 2007, 2009, 2011
Nphp3	ENSMUST00000035167.9	nephronophthisis 3 (adolescent) 	192	1	1	0	0	0	0	0	0	1	mmu-let-7d-5p	-0.52	-0.54	0.93	2005, 2009, 2011
Pde12	ENSMUST00000052932.9	phosphodiesterase 12 	1783	1	1	0	0	1	0	0	1	0	mmu-let-7d-5p	-0.52	-0.63	0.98	2007, 2009, 2011
Nhlrc3	ENSMUST00000056749.8	NHL repeat containing 3 	220	1	1	0	0	2	0	2	0	0	mmu-let-7i-5p	-0.52	-0.58	0.96	2007
Tmem233	ENSMUST00000111997.1	transmembrane protein 233 	3533	1	0	0	1	1	0	1	0	0	mmu-let-7e-5p	-0.52	-0.53	0.58	
1700017B05Rik	ENSMUST00000034846.5	RIKEN cDNA 1700017B05 gene 	1064	1	1	0	0	1	0	1	0	0	mmu-let-7d-5p	-0.52	-0.61	0.93	2009, 2011
Chp1	ENSMUST00000119172.1	calcineurin-like EF hand protein 1 	4235	1	0	1	0	1	0	1	0	0	mmu-miR-98-5p	-0.52	-0.52	0.33	2007, 2009, 2011
Gm11149	ENSMUST00000068730.3	predicted gene 11149 	5	1	1	0	0	0	0	0	0	0	mmu-let-7d-5p	-0.52	-0.52	< 0.1	
Ddx19b	ENSMUST00000040241.9	DEAD (Asp-Glu-Ala-Asp) box polypeptide 19b 	375	1	1	0	0	1	1	0	0	0	mmu-let-7d-5p	-0.52	-0.69	0.98	2005, 2007, 2009, 2011
Pcgf3	ENSMUST00000046975.6	polycomb group ring finger 3 	636	1	1	0	0	2	0	1	1	2	mmu-let-7d-5p	-0.52	-0.90	0.98	2005, 2007, 2009, 2011
Onecut3	ENSMUST00000051773.8	one cut domain, family member 3 	5	2	1	0	1	0	0	0	0	0	mmu-let-7d-5p	-0.51	-0.51	> 0.99	2009, 2011
Trpm6	ENSMUST00000040489.7	transient receptor potential cation channel, subfamily M, member 6 	128	1	0	0	1	0	0	0	0	0	mmu-miR-98-5p	-0.51	-0.51	0.81	2005, 2007, 2009, 2011
Dnase1l2	ENSMUST00000088506.6	deoxyribonuclease 1-like 2 	18	1	1	0	0	0	0	0	0	0	mmu-let-7d-5p	-0.51	-0.51	0.46	2005, 2007, 2009, 2011
Wdr37	ENSMUST00000054251.7	WD repeat domain 37 	1051	1	1	0	0	0	0	0	0	1	mmu-let-7d-5p	-0.51	-0.52	0.98	2005, 2007, 2011
Ercc6	ENSMUST00000066807.6	excision repair cross-complementing rodent repair deficiency, complementation group 6 	156	1	1	0	0	0	0	0	0	1	mmu-let-7d-5p	-0.51	-0.51	0.98	2005, 2007, 2009, 2011
Gdpd1	ENSMUST00000020804.7	glycerophosphodiester phosphodiesterase domain containing 1 	120	1	0	0	1	0	0	0	0	0	mmu-let-7d-5p	-0.50	-0.53	0.94	2005, 2007, 2009, 2011
Pappa	ENSMUST00000084501.3	pregnancy-associated plasma protein A 	33	3	1	1	1	0	0	0	0	0	mmu-miR-98-5p	-0.50	-0.60	> 0.99	2005, 2007, 2009, 2011
Sowaha	ENSMUST00000104955.3	sosondowah ankyrin repeat domain family member A 	8	1	1	0	0	0	0	0	0	0	mmu-let-7d-5p	-0.50	-0.50	0.98	2007, 2009, 2011
Scn11a	ENSMUST00000070617.7	sodium channel, voltage-gated, type XI, alpha 	5	1	1	0	0	0	0	0	0	0	mmu-let-7d-5p	-0.50	-0.50	0.56	2005, 2007, 2009, 2011
Gpr157	ENSMUST00000094451.3	G protein-coupled receptor 157 	190	1	0	1	0	1	1	0	0	0	mmu-let-7d-5p	-0.50	-0.57	0.89	2009, 2011
Klf8	ENSMUST00000112574.3	Kruppel-like factor 8 	201	3	1	2	0	0	0	0	0	0	mmu-let-7f-5p	-0.50	-0.81	0.96	2009, 2011
Cpeb1	ENSMUST00000098331.4	cytoplasmic polyadenylation element binding protein 1 	361	1	1	0	0	0	0	0	0	0	mmu-let-7d-5p	-0.50	-0.52	0.97	2007
Pnkd	ENSMUST00000087226.5	paroxysmal nonkinesiogenic dyskinesia 	1028	1	0	1	0	0	0	0	0	0	mmu-let-7a-5p	-0.50	-0.50	< 0.1	2007, 2009, 2011
Ddi2	ENSMUST00000102484.4	DNA-damage inducible protein 2 	2606	1	1	0	0	0	0	0	0	0	mmu-let-7d-5p	-0.49	-0.49	0.98	
Plekho1	ENSMUST00000015889.4	pleckstrin homology domain containing, family O member 1 	372	1	0	0	1	0	0	0	0	0	mmu-let-7d-5p	-0.49	-0.50	0.91	2007, 2009, 2011
Nek3	ENSMUST00000033865.10	NIMA (never in mitosis gene a)-related expressed kinase 3 	7	1	1	0	0	0	0	0	0	0	mmu-let-7d-5p	-0.49	-0.49	0.16	2007, 2009, 2011
Mapk6	ENSMUST00000168937.2	mitogen-activated protein kinase 6 	3442	1	1	0	0	0	0	0	0	0	mmu-let-7b-5p	-0.49	-0.49	0.97	2005, 2007, 2009, 2011
Zfp583	ENSMUST00000062765.8	zinc finger protein 583 	18	1	1	0	0	0	0	0	0	0	mmu-let-7d-5p	-0.49	-0.63	0.92	2009, 2011
E2f6	ENSMUST00000020908.7	E2F transcription factor 6 	97	1	1	0	0	0	0	0	0	2	mmu-let-7d-5p	-0.49	-0.49	0.88	2005, 2007, 2009, 2011
Naa30	ENSMUST00000037362.5	N(alpha)-acetyltransferase 30, NatC catalytic subunit 	980	2	0	1	1	1	0	0	1	0	mmu-let-7d-5p	-0.49	-0.72	> 0.99	2007, 2009, 2011
Rgs8	ENSMUST00000041776.6	regulator of G-protein signaling 8 	5	1	0	0	1	0	0	0	0	1	mmu-let-7d-5p	-0.49	-0.49	0.94	2009, 2011
Slc5a9	ENSMUST00000102721.2	solute carrier family 5 (sodium/glucose cotransporter), member 9 	36	1	1	0	0	1	0	1	0	4	mmu-let-7d-5p	-0.49	-0.57	0.82	2005, 2007, 2009, 2011
Ddx19a	ENSMUST00000040416.7	DEAD (Asp-Glu-Ala-Asp) box polypeptide 19a 	387	1	1	0	0	0	0	0	0	3	mmu-let-7d-5p	-0.49	-0.55	0.98	2005, 2007, 2009, 2011
Crk	ENSMUST00000017920.8	v-crk sarcoma virus CT10 oncogene homolog (avian) 	2790	1	0	0	1	0	0	0	0	0	mmu-miR-98-5p	-0.49	-0.49	0.92	2009, 2011
Iars	ENSMUST00000165316.2	isoleucine-tRNA synthetase 	594	1	0	0	1	0	0	0	0	1	mmu-let-7d-5p	-0.48	-0.58	0.94	2005, 2007, 2009, 2011
Gipc1	ENSMUST00000019577.8	GIPC PDZ domain containing family, member 1 	56	1	1	0	0	0	0	0	0	1	mmu-let-7d-5p	-0.48	-0.53	0.95	2005, 2007, 2009, 2011
Styk1	ENSMUST00000049150.2	serine/threonine/tyrosine kinase 1 	28	1	1	0	0	1	0	1	0	0	mmu-miR-98-5p	-0.48	-0.58	< 0.1	2005, 2007, 2009, 2011
Rdx	ENSMUST00000163153.2	radixin 	9130	1	1	0	0	0	0	0	0	0	mmu-let-7g-5p	-0.48	-0.48	0.98	2005, 2007, 2009, 2011
Casp3	ENSMUST00000093517.5	caspase 3 	2184	1	1	0	0	0	0	0	0	0	mmu-let-7d-5p	-0.48	-0.48	0.97	2005, 2007, 2009, 2011
Frmd4b	ENSMUST00000113355.3	FERM domain containing 4B 	135	1	1	0	0	0	0	0	0	0	mmu-let-7d-5p	-0.48	-0.48	0.88	2009, 2011
Klhdc8b	ENSMUST00000035232.7	kelch domain containing 8B 	53	1	1	0	0	0	0	0	0	0	mmu-let-7d-5p	-0.48	-0.52	0.91	2009, 2011
Cep135	ENSMUST00000121979.2	centrosomal protein 135 	275	1	0	1	0	0	0	0	0	0	mmu-let-7b-5p	-0.48	-0.48	0.95	2007, 2009, 2011
Best2	ENSMUST00000059072.4	bestrophin 2 	5	1	1	0	0	0	0	0	0	0	mmu-let-7d-5p	-0.48	-0.48	< 0.1	2007, 2011
Nras	ENSMUST00000029445.7	neuroblastoma ras oncogene 	1567	2	0	1	1	0	0	0	0	1	mmu-let-7f-5p	-0.47	-0.58	> 0.99	2005, 2007, 2009, 2011
Nme6	ENSMUST00000119376.2	NME/NM23 nucleoside diphosphate kinase 6 	729	1	0	1	0	1	0	1	0	0	mmu-let-7b-5p	-0.47	-0.64	0.93	2005, 2007, 2009, 2011
Ndst2	ENSMUST00000047490.5	N-deacetylase/N-sulfotransferase (heparan glucosaminyl) 2 	22	1	1	0	0	0	0	0	0	0	mmu-let-7d-5p	-0.47	-0.47	0.70	2005, 2007, 2009, 2011
Stk40	ENSMUST00000094761.5	serine/threonine kinase 40 	5050	1	0	1	0	1	0	1	0	0	mmu-let-7a-5p	-0.47	-0.47	0.95	2005, 2007, 2009, 2011
Ero1l	ENSMUST00000022378.7	ERO1-like (S. cerevisiae) 	259	2	0	1	1	0	0	0	0	0	mmu-let-7d-5p	-0.47	-0.55	0.96	2009, 2011
Cpa4	ENSMUST00000049251.5	carboxypeptidase A4 	5	1	1	0	0	0	0	0	0	2	mmu-let-7d-5p	-0.47	-0.47	0.94	2005, 2007, 2009, 2011
Arhgef38	ENSMUST00000147041.4	Rho guanine nucleotide exchange factor (GEF) 38 	88	1	1	0	0	0	0	0	0	0	mmu-let-7d-5p	-0.47	-0.47	0.93	
P4ha2	ENSMUST00000174616.2	procollagen-proline, 2-oxoglutarate 4-dioxygenase (proline 4-hydroxylase), alpha II polypeptide 	322	1	0	0	1	1	0	0	1	0	mmu-let-7d-5p	-0.47	-0.84	0.94	2005, 2007, 2009, 2011
Lonrf3	ENSMUST00000016383.4	LON peptidase N-terminal domain and ring finger 3 	50	1	0	1	0	0	0	0	0	0	mmu-let-7b-5p	-0.47	-0.70	0.95	2009, 2011
Ccdc71l	ENSMUST00000172332.3	coiled-coil domain containing 71 like 	436	1	1	0	0	1	0	0	1	1	mmu-let-7d-5p	-0.47	-0.60	0.97	2007, 2011
Lrfn4	ENSMUST00000113822.2	leucine rich repeat and fibronectin type III domain containing 4 	107	1	0	0	1	0	0	0	0	0	mmu-let-7d-5p	-0.47	-0.47	0.67	2005, 2007, 2009, 2011
0610030E20Rik	ENSMUST00000077783.3	RIKEN cDNA 0610030E20 gene 	1246	1	0	1	0	1	0	1	0	0	mmu-let-7c-5p	-0.46	-0.52	0.81	2011
Nynrin	ENSMUST00000168479.1	NYN domain and retroviral integrase containing 	248	1	1	0	0	0	0	0	0	1	mmu-let-7d-5p	-0.46	-0.46	0.96	2007, 2011
Begain	ENSMUST00000073156.7	brain-enriched guanylate kinase-associated 	45	1	1	0	0	0	0	0	0	0	mmu-let-7d-5p	-0.46	-0.46	0.98	2007, 2011
Cep120	ENSMUST00000049811.6	centrosomal protein 120 	231	1	0	1	0	1	0	1	0	0	mmu-miR-98-5p	-0.46	-0.49	0.92	2007, 2009, 2011
Mga	ENSMUST00000079934.6	MAX gene associated 	1277	1	0	0	1	0	0	0	0	0	mmu-let-7d-5p	-0.46	-0.47	0.94	2007, 2009, 2011
Bcl7a	ENSMUST00000120593.2	B cell CLL/lymphoma 7A 	79	1	0	0	1	0	0	0	0	3	mmu-let-7d-5p	-0.46	-0.75	0.94	2005, 2007, 2009, 2011
Aven	ENSMUST00000099588.3	apoptosis, caspase activation inhibitor 	1522	1	0	1	0	0	0	0	0	1	mmu-let-7a-5p	-0.46	-0.49	0.78	2007, 2009, 2011
Rspo2	ENSMUST00000063492.6	R-spondin 2 homolog (Xenopus laevis) 	19	1	0	1	0	0	0	0	0	0	mmu-let-7d-5p	-0.46	-0.46	0.91	2005, 2007, 2009, 2011
Fam178a	ENSMUST00000096053.3	family with sequence similarity 178, member A 	683	2	0	2	0	0	0	0	0	0	mmu-miR-98-5p	-0.46	-0.46	0.96	2009, 2011
Snx16	ENSMUST00000099223.5	sorting nexin 16 	579	1	0	1	0	0	0	0	0	0	mmu-let-7a-5p	-0.46	-0.47	0.96	2005, 2007, 2009, 2011
Gxylt1	ENSMUST00000057896.4	glucoside xylosyltransferase 1 	1508	1	1	0	0	1	0	0	1	1	mmu-let-7d-5p	-0.46	-0.47	0.98	2009, 2011
Sfmbt1	ENSMUST00000054230.5	Scm-like with four mbt domains 1 	256	1	0	1	0	1	0	1	0	0	mmu-miR-98-5p	-0.46	-0.57	0.95	2011
Col27a1	ENSMUST00000036300.7	collagen, type XXVII, alpha 1 	295	2	0	1	1	0	0	0	0	0	mmu-let-7d-5p	-0.46	-0.46	> 0.99	2009, 2011
Tbkbp1	ENSMUST00000066078.6	TBK1 binding protein 1 	225	1	1	0	0	1	1	0	0	1	mmu-let-7d-5p	-0.45	-0.74	0.95	2007, 2009, 2011
Gnptab	ENSMUST00000020251.8	N-acetylglucosamine-1-phosphate transferase, alpha and beta subunits 	2815	1	1	0	0	0	0	0	0	0	mmu-let-7d-5p	-0.45	-0.45	0.98	2007, 2009, 2011
Limk2	ENSMUST00000110029.3	LIM motif-containing protein kinase 2 	559	2	0	2	0	1	1	0	0	0	mmu-miR-98-5p	-0.45	-0.92	> 0.99	2005, 2007, 2009, 2011
Timm17b	ENSMUST00000033498.4	translocase of inner mitochondrial membrane 17b 	601	1	0	1	0	1	0	1	0	0	mmu-let-7f-5p	-0.45	-0.68	0.95	2005, 2007, 2009, 2011
Kcnk18	ENSMUST00000065204.6	potassium channel, subfamily K, member 18 	5	1	1	0	0	1	0	0	1	0	mmu-let-7d-5p	-0.45	-0.45	0.25	2009, 2011
Spryd4	ENSMUST00000061995.8	SPRY domain containing 4 	430	1	0	1	0	1	0	0	1	0	mmu-let-7d-5p	-0.45	-0.49	0.74	2007, 2009, 2011
Riok3	ENSMUST00000025270.6	RIO kinase 3 	6510	1	0	1	0	0	0	0	0	0	mmu-let-7f-5p	-0.45	-0.45	0.95	2005, 2007, 2009, 2011
Usp38	ENSMUST00000042724.6	ubiquitin specific peptidase 38 	709	1	0	1	0	0	0	0	0	0	mmu-let-7g-5p	-0.45	-0.48	0.94	2005, 2007, 2009, 2011
Cpeb4	ENSMUST00000109412.3	cytoplasmic polyadenylation element binding protein 4 	4130	2	0	0	2	0	0	0	0	0	mmu-let-7d-5p	-0.45	-0.45	> 0.99	2005, 2007
Kctd21	ENSMUST00000054107.5	potassium channel tetramerisation domain containing 21 	138	1	1	0	0	1	0	1	0	0	mmu-let-7d-5p	-0.45	-0.67	0.95	2007, 2009, 2011
Clp1	ENSMUST00000165219.2	CLP1, cleavage and polyadenylation factor I subunit 	162	1	0	1	0	0	0	0	0	0	mmu-let-7i-5p	-0.45	-0.45	0.89	2007, 2009, 2011
Liph	ENSMUST00000074230.5	lipase, member H 	203	1	1	0	0	0	0	0	0	0	mmu-let-7d-5p	-0.45	-0.45	0.89	2005, 2007, 2009, 2011
Rdh10	ENSMUST00000027053.7	retinol dehydrogenase 10 (all-trans) 	2115	1	0	1	0	0	0	0	0	0	mmu-let-7f-5p	-0.45	-0.47	0.96	2005, 2007, 2009, 2011
B930041F14Rik	ENSMUST00000099265.2	RIKEN cDNA B930041F14 gene 	38	1	0	1	0	1	0	1	0	0	mmu-let-7i-5p	-0.45	-0.45	0.36	2009, 2011
Slc25a24	ENSMUST00000029477.6	solute carrier family 25 (mitochondrial carrier, phosphate carrier), member 24 	1304	1	0	1	0	0	0	0	0	0	mmu-let-7a-5p	-0.45	-0.45	0.90	2005, 2007, 2009, 2011
Chsy3	ENSMUST00000080721.4	chondroitin sulfate synthase 3 	54	1	0	0	1	0	0	0	0	0	mmu-let-7d-5p	-0.45	-0.45	0.94	2007, 2009, 2011
Hoxc11	ENSMUST00000001701.3	homeobox C11 	30	1	0	1	0	0	0	0	0	1	mmu-let-7g-5p	-0.45	-0.45	0.88	2005, 2007
Ctdspl2	ENSMUST00000036647.7	CTD (carboxy-terminal domain, RNA polymerase II, polypeptide A) small phosphatase like 2 	546	2	1	0	1	0	0	0	0	2	mmu-let-7d-5p	-0.44	-0.59	0.88	2007, 2009, 2011
Rbm38	ENSMUST00000173393.2	RNA binding motif protein 38 	283	1	1	0	0	0	0	0	0	0	mmu-let-7d-5p	-0.44	-0.45	0.96	2007, 2009, 2011
Ankrd49	ENSMUST00000034406.3	ankyrin repeat domain 49 	215	1	1	0	0	1	1	0	0	0	mmu-let-7d-5p	-0.44	-0.76	0.88	2007, 2009, 2011
Ppargc1b	ENSMUST00000075299.7	peroxisome proliferative activated receptor, gamma, coactivator 1 beta 	268	2	0	0	2	1	0	0	1	0	mmu-let-7d-5p	-0.44	-0.45	> 0.99	2005, 2007, 2009, 2011
Smarcad1	ENSMUST00000031984.6	SWI/SNF-related, matrix-associated actin-dependent regulator of chromatin, subfamily a, containing DEAD/H box 1 	1486	2	0	2	0	0	0	0	0	0	mmu-let-7f-5p	-0.44	-0.58	0.96	2005, 2007, 2009, 2011
B3galt1	ENSMUST00000112346.2	UDP-Gal:betaGlcNAc beta 1,3-galactosyltransferase, polypeptide 1 	244	1	1	0	0	0	0	0	0	0	mmu-let-7d-5p	-0.44	-0.44	0.79	2009, 2011
Limd2	ENSMUST00000045923.4	LIM domain containing 2 	1423	1	0	1	0	0	0	0	0	0	mmu-let-7g-5p	-0.44	-0.44	0.95	2007, 2009, 2011
Efhd2	ENSMUST00000036854.3	EF hand domain containing 2 	699	1	1	0	0	0	0	0	0	1	mmu-let-7d-5p	-0.44	-0.51	0.93	2005, 2007, 2009, 2011
Cbfa2t3	ENSMUST00000127984.2	core-binding factor, runt domain, alpha subunit 2, translocated to, 3 (human) 	162	1	0	1	0	1	0	1	0	2	mmu-let-7e-5p	-0.44	-0.48	0.95	2005, 2007, 2009, 2011
Serf2	ENSMUST00000139253.2	small EDRK-rich factor 2 	2428	1	1	0	0	0	0	0	0	0	mmu-let-7d-5p	-0.43	-0.56	0.48	2011
Abcb9	ENSMUST00000031354.5	ATP-binding cassette, sub-family B (MDR/TAP), member 9 	81	1	0	1	0	0	0	0	0	0	mmu-miR-98-5p	-0.43	-0.43	0.94	2005, 2007, 2009, 2011
Tarbp2	ENSMUST00000023813.3	TAR (HIV) RNA binding protein 2 	5	1	0	1	0	0	0	0	0	0	mmu-let-7f-5p	-0.43	-0.43	0.87	2005, 2007, 2009, 2011
Samd12	ENSMUST00000078673.7	sterile alpha motif domain containing 12 	126	1	0	1	0	1	1	0	0	2	mmu-let-7b-5p	-0.43	-0.47	0.93	
Gas7	ENSMUST00000108682.3	growth arrest specific 7 	469	1	1	0	0	1	0	1	0	0	mmu-let-7d-5p	-0.43	-0.44	0.96	2005, 2007, 2009, 2011
Hmbox1	ENSMUST00000022544.8	homeobox containing 1 	1109	1	1	0	0	0	0	0	0	0	mmu-let-7d-5p	-0.43	-0.43	0.91	
Slc10a7	ENSMUST00000034111.8	solute carrier family 10 (sodium/bile acid cotransporter family), member 7 	233	1	0	1	0	2	0	0	2	0	mmu-let-7d-5p	-0.43	-0.48	0.85	2007, 2009, 2011
Slc25a27	ENSMUST00000024705.4	solute carrier family 25, member 27 	49	1	0	1	0	1	0	0	1	0	mmu-let-7f-5p	-0.43	-0.47	0.95	2005, 2007, 2009, 2011
Fbxo32	ENSMUST00000022986.6	F-box protein 32 	4268	1	0	1	0	0	0	0	0	0	mmu-let-7b-5p	-0.43	-0.43	0.95	2009, 2011
Abcc10	ENSMUST00000167360.2	ATP-binding cassette, sub-family C (CFTR/MRP), member 10 	88	1	0	1	0	0	0	0	0	0	mmu-miR-98-5p	-0.43	-0.43	0.53	2005, 2007, 2009, 2011
Tmem110	ENSMUST00000006701.5	transmembrane protein 110 	856	1	0	1	0	0	0	0	0	0	mmu-let-7e-5p	-0.43	-0.43	0.95	2007, 2009, 2011
Pard6b	ENSMUST00000052125.6	par-6 family cell polarity regulator beta 	1542	1	0	1	0	0	0	0	0	0	mmu-let-7b-5p	-0.42	-0.43	0.95	2007, 2011
Glrx	ENSMUST00000022082.7	glutaredoxin 	2647	1	0	1	0	2	0	1	1	0	mmu-let-7a-5p	-0.42	-0.85	0.59	2005, 2007, 2009, 2011
Ccnj	ENSMUST00000025983.7	cyclin J 	116	1	1	0	0	0	0	0	0	0	mmu-let-7d-5p	-0.42	-0.46	0.96	2005, 2007, 2009, 2011
9930012K11Rik	ENSMUST00000058240.8	RIKEN cDNA 9930012K11 gene 	18	1	1	0	0	0	0	0	0	0	mmu-let-7d-5p	-0.42	-0.63	0.92	2009, 2011
Fgf4	ENSMUST00000060336.4	fibroblast growth factor 4 	108	1	1	0	0	0	0	0	0	0	mmu-let-7d-5p	-0.42	-0.43	0.84	2009, 2011
4930578C19Rik	ENSMUST00000044188.4	RIKEN cDNA 4930578C19 gene 	42	2	0	2	0	0	0	0	0	1	mmu-miR-98-5p	-0.42	-0.52	0.73	
Rnf39	ENSMUST00000040498.6	ring finger protein 39 	215	1	0	1	0	0	0	0	0	1	mmu-let-7f-5p	-0.42	-0.43	0.92	2005, 2007
Zc3h3	ENSMUST00000100538.2	zinc finger CCCH type containing 3 	5	1	1	0	0	0	0	0	0	0	mmu-let-7d-5p	-0.42	-0.42	0.88	2005, 2007, 2009, 2011
Dpp3	ENSMUST00000025851.3	dipeptidylpeptidase 3 	391	1	1	0	0	0	0	0	0	0	mmu-let-7d-5p	-0.42	-0.42	0.76	2005, 2007, 2009, 2011
Lor	ENSMUST00000058150.7	loricrin 	8	1	0	1	0	0	0	0	0	0	mmu-let-7f-5p	-0.42	-0.42	0.61	2005, 2007, 2009, 2011
Smarcc1	ENSMUST00000035057.8	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily c, member 1 	2640	1	0	1	0	1	0	0	1	0	mmu-let-7d-5p	-0.42	-0.42	0.95	2005, 2007, 2009, 2011
Prrx1	ENSMUST00000075805.7	paired related homeobox 1 	1994	1	1	0	0	0	0	0	0	0	mmu-let-7f-5p	-0.42	-0.44	0.93	2005, 2007, 2009, 2011
Olr1	ENSMUST00000032265.7	oxidized low density lipoprotein (lectin-like) receptor 1 	47	1	1	0	0	0	0	0	0	0	mmu-let-7d-5p	-0.42	-0.42	0.85	2005, 2007, 2009, 2011
Calm1	ENSMUST00000110082.4	calmodulin 1 	29214	1	0	0	1	0	0	0	0	2	mmu-let-7d-5p	-0.42	-0.45	0.76	2005, 2007, 2009, 2011
Lbr	ENSMUST00000005003.6	lamin B receptor 	2560	1	1	0	0	0	0	0	0	0	mmu-let-7d-5p	-0.42	-0.42	0.98	2005, 2007, 2009, 2011
Col4a5	ENSMUST00000112931.2	collagen, type IV, alpha 5 	288	1	0	0	1	0	0	0	0	0	mmu-let-7d-5p	-0.42	-0.43	0.73	2005, 2007, 2009, 2011
Aqp4	ENSMUST00000079081.6	aquaporin 4 	166	1	0	1	0	1	0	0	1	1	mmu-miR-98-5p	-0.42	-0.45	0.75	2005, 2007, 2009, 2011
Zfyve26	ENSMUST00000021547.6	zinc finger, FYVE domain containing 26 	42	1	1	0	0	0	0	0	0	1	mmu-let-7d-5p	-0.42	-0.51	0.98	2005, 2007, 2009, 2011
Pld3	ENSMUST00000117095.2	phospholipase D family, member 3 	926	1	0	1	0	0	0	0	0	0	mmu-let-7a-5p	-0.41	-0.41	0.83	2005, 2007, 2009, 2011
Cpeb3	ENSMUST00000079754.5	cytoplasmic polyadenylation element binding protein 3 	708	2	0	0	2	0	0	0	0	0	mmu-let-7d-5p	-0.41	-0.41	> 0.99	2005, 2007, 2009, 2011
Zfp354b	ENSMUST00000109124.4	zinc finger protein 354B 	25	1	0	1	0	0	0	0	0	0	mmu-let-7g-5p	-0.41	-0.45	0.89	2009, 2011
Med8	ENSMUST00000106384.4	mediator complex subunit 8 	2479	1	0	1	0	0	0	0	0	0	mmu-let-7f-5p	-0.41	-0.41	0.87	2005, 2009, 2011
4930402H24Rik	ENSMUST00000044766.9	RIKEN cDNA 4930402H24 gene 	2877	2	0	0	2	0	0	0	0	0	mmu-let-7d-5p	-0.41	-0.41	> 0.99	
Ssh1	ENSMUST00000159592.2	slingshot homolog 1 (Drosophila) 	678	1	0	1	0	1	1	0	0	2	mmu-let-7b-5p	-0.41	-0.45	0.95	2005, 2007
Skida1	ENSMUST00000091420.5	SKI/DACH domain containing 1 	61	1	0	0	1	0	0	0	0	0	mmu-let-7d-5p	-0.41	-0.43	0.91	2007, 2009, 2011
Acvr1b	ENSMUST00000000544.10	activin A receptor, type 1B 	815	1	0	1	0	1	0	1	0	3	mmu-let-7b-5p	-0.41	-0.55	0.96	2005, 2007, 2009, 2011
Sdk1	ENSMUST00000085774.5	sidekick homolog 1 (chicken) 	30	1	0	1	0	0	0	0	0	1	mmu-let-7b-5p	-0.41	-0.75	0.95	2009, 2011
B3gat3	ENSMUST00000096243.5	beta-1,3-glucuronyltransferase 3 (glucuronosyltransferase I) 	2361	1	0	1	0	0	0	0	0	0	mmu-let-7d-5p	-0.41	-0.41	0.59	2007, 2009, 2011
